game_id,player_id,role,prey_type,score,fate,killed_by,reproduced
1,Vigilant Puma,prey,blue,0,killed,Resourceful Platypus,
4,Gentle Bear,prey,blue,30,survived,,
4,Fierce Porcupine,prey,red,50,survived,,
4,Majestic Kangaroo,prey,red,50,survived,,
4,Brave Cheetah,prey,blue,35,killed,Wandering Antelope,
4,Graceful Raccoon,prey,red,63,survived,,Wise Leopard
4,Wise Leopard,prey,red,69,survived,,Graceful Raccoon
4,Vigilant Puma,pred,blue,40,survived,,
5,Vigilant Puma,apex,,4,survived,,
5,Cunning Giraffe,prey,red,0,killed,Swift Elephant,
5,Daring Koala,prey,blue,60,survived,,
5,Resourceful Platypus,meso,,2,survived,,
5,Wild Tiger,meso,,0,killed,Wandering Antelope,
5,Bold Owl,prey,blue,5,killed,Swift Elephant,
5,Fierce Porcupine,prey,red,21,killed,Noble Zebra,
5,Gentle Bear,prey,blue,15,killed,Swift Elephant,
5,Swift Elephant,apex,,7,survived,,
2,Resilient Otter,prey,blue,40,killed,Playful Dolphin,
2,Peaceful Walrus,prey,blue,70,survived,,
2,Playful Dolphin,apex,,2,survived,,
2,Daring Koala,meso,,4,survived,,
2,Loyal Crocodile,prey,,2,survived,,
2,Silent Squirrel,prey,red,68,survived,,
2,Tenacious Mongoose,prey,red,90,survived,,Resourceful Platypus
2,Swift Elephant,prey,blue,50,survived,,
2,Agile Hippopotamus,prey,red,7,killed,Wise Leopard,
2,Graceful Raccoon,prey,blue,15,killed,Daring Koala,
2,Persistent Armadillo,prey,blue,0,killed,Clever Lion,
2,Elusive Fox,prey,blue,45,survived,,
2,Vigilant Puma,prey,blue,70,survived,,
2,Enduring Beaver,prey,red,53,survived,,Brave Cheetah
2,Noble Zebra,prey,blue,60,survived,,
2,Curious Penguin,prey,blue,15,dead,Loyal Crocodile,
2,Wise Leopard,apex,,1,survived,,
3,Bold Owl,prey,blue,10,dead,Independent Weasel,
3,Cunning Giraffe,prey,red,15,dead,Resilient Otter,
3,Wise Leopard,prey,red,28,dead,Resilient Otter,
3,Gentle Bear,prey,red,13,dead,Independent Weasel,
3,Fierce Porcupine,prey,red,17,dead,Wandering Antelope,
3,Brave Cheetah,prey,blue,55,survived,,
3,Lively Rabbit,prey,red,56,survived,,Silent Squirrel
3,Loyal Crocodile,prey,red,53,survived,,
3,Silent Squirrel,prey,red,54,survived,,Lively Rabbit
3,Energetic Badger,prey,blue,30,survived,,
1,Clever Lion,prey,blue,55,survived,,
1,Enduring Beaver,prey,red,28,starved,,
1,Graceful Raccoon,prey,red,40,survived,,
1,Agile Hippopotamus,meso,,2,survived,,
1,Swift Elephant,meso,,1,survived,,
1,Silent Squirrel,prey,red,32,survived,,
1,Elusive Fox,prey,red,5,killed,Playful Dolphin,
1,Daring Koala,prey,red,23,killed,Resourceful Platypus,
1,Resilient Otter,prey,blue,9,killed,Loyal Crocodile,
1,Curious Penguin,prey,red,0,killed,Resourceful Platypus,
1,Noble Zebra,prey,blue,25,killed,Resourceful Platypus,
1,Peaceful Walrus,prey,red,11,killed,Playful Dolphin,
1,Tenacious Mongoose,prey,red,65,survived,,
1,Wise Leopard,prey,red,20,killed,Swift Elephant,
1,Resourceful Platypus,apex,,4,survived,,
2,Resourceful Platypus,prey,A VOIR,81,killed,Playful Dolphin,Tenacious Mongoose
3,Tenacious Mongoose,meso,blue,2,killed,Wandering Antelope,
3,Wild Tiger,prey,blue,35,killed,Wandering Antelope,
3,Clever Lion,prey,blue,10,killed,Tenacious Mongoose,
3,Majestic Kangaroo,prey,blue,65,killed,Independent Weasel,Lively Rabbit
3,Vigilant Puma,prey,blue,11,killed,Resilient Otter,
3,Independent Weasel,apex,,8,survived,,
4,Silent Squirrel,prey,red,10,killed,Peaceful Walrus,
4,Lively Rabbit,prey,red,0,killed,Peaceful Walrus,
4,Loyal Crocodile,prey,blue,30,killed,Peaceful Walrus,
1,Independent Weasel,prey,blue,7,killed,Loyal Crocodile,
1,Fearless Chameleon,prey,blue,20,killed,Agile Hippopotamus,
1,Cunning Giraffe,prey,red,68,survived,,
1,Energetic Badger,prey,blue,20,killed,Loyal Crocodile,
1,Lively Rabbit,prey,blue,30,killed,Agile Hippopotamus,
1,Wandering Antelope,prey,blue,64,survived,,
1,Wild Tiger,prey,blue,45,killed,Agile Hippopotamus,
1,Bold Owl,prey,red,66,survived,,Majestic Kangaroo
1,Majestic Kangaroo,prey,blue,70,survived,,Bold Owl
1,Loyal Crocodile,apex,,3,survived,,
1,Playful Dolphin,apex,,3,survived,,
1,Brave Cheetah,prey,blue,32,starved,,
1,Gentle Bear,prey,blue,15,starved,,
1,Fierce Porcupine,prey,blue,20,starved,,
2,Fearless Chameleon,prey,blue,62,killed,Loyal Crocodile,
2,Wild Tiger,prey,blue,40,killed,Daring Koala,
2,Lively Rabbit,prey,blue,30,killed,Daring Koala,
2,Gentle Bear,prey,blue,40,killed,Clever Lion,
2,Fierce Porcupine,prey,red,4,killed,Daring Koala,
2,Majestic Kangaroo,prey,red,70,survived,,Energetic Badger
2,Energetic Badger,prey,blue,65,survived,,Majestic Kangaroo
2,Cunning Giraffe,prey,red,66,survived,,Independent Weasel
2,Bold Owl,prey,blue,60,survived,,Wandering Antelope
2,Wandering Antelope,prey,blue,60,survived,,Bold Owl
2,Brave Cheetah,prey,blue,60,survived,,Enduring Beaver
2,Independent Weasel,prey,blue,63,survived,,Cunning Giraffe
2,Clever Lion,meso,,3,survived,,
5,Enduring Beaver,prey,blue,10,killed,Noble Zebra,
5,Brave Cheetah,prey,red,12,killed,,
5,Elusive Fox,prey,red,33,killed,Vigilant Puma,
5,Agile Hippopotamus,prey,red,50,killed,Noble Zebra,
5,Majestic Kangaroo,prey,blue,30,killed,Vigilant Puma,
5,Loyal Crocodile,prey,blue,53,killed,Vigilant Puma,
5,Wise Leopard,prey,red,57,killed,Swift Elephant,
5,Graceful Raccoon,prey,blue,65,killed,Swift Elephant,
3,Daring Koala,prey,red,1,killed,Tenacious Mongoose,
3,Playful Dolphin,prey,blue,50,survived,,
3,Peaceful Walrus,prey,blue,25,killed,Wandering Antelope,
3,Swift Elephant,prey,red,50,survived,,Noble Zebra
3,Agile Hippopotamus,prey,red,5,killed,Independent Weasel,
3,Elusive Fox,meso,,0,killed,Resilient Otter,
3,Enduring Beaver,prey,red,53,survived,,
3,Graceful Raccoon,prey,red,7,killed,Independent Weasel,
3,Resourceful Platypus,prey,blue,15,killed,Wandering Antelope,
3,Curious Penguin,prey,blue,20,killed,Independent Weasel,
3,Noble Zebra,prey,red,54,survived,,Swift Elephant
3,Wandering Antelope,apex,,4,survived,,
3,Resilient Otter,apex,,4,survived,,
4,Enduring Beaver,prey,red,26,killed,Wandering Antelope,
4,Elusive Fox,prey,red,28,killed,Daring Koala,
4,Cunning Giraffe,prey,red,35,killed,Wandering Antelope,
4,Playful Dolphin,prey,red,11,killed,Wandering Antelope,
4,Swift Elephant,prey,blue,90,survived,,Resourceful Platypus
4,Resourceful Platypus,prey,blue,70,killed,Peaceful Walrus,Swift Elephant
4,Daring Koala,meso,,1,survived,,
4,Curious Penguin,prey,red,84,survived,,Noble Zebra
4,Agile Hippopotamus,prey,red,118,survived,,
4,Noble Zebra,prey,red,76,survived,,Curious Penguin
4,Peaceful Walrus,apex,,5,survived,,
4,Bold Owl,prey,blue,50,survived,,
4,Wandering Antelope,apex,,5,survived,,
4,Resilient Otter,prey,blue,19,killed,Energetic Badger,
5,Wandering Antelope,prey,blue,40,killed,Vigilant Puma,
5,Peaceful Walrus,prey,red,21,killed,Swift Elephant,
5,Curious Penguin,prey,blue,20,killed,Swift Elephant,
5,Resilient Otter,prey,red,31,killed,Resourceful Platypus,
5,Noble Zebra,apex,,3,survived,,
5,Playful Dolphin,prey,red,51,survived,,
4,Clever Lion,prey,blue,20,killed,Peaceful Walrus,
