longitude;latitude;Refuge_ID
-74.478546;46.042106;70
-74.477242;46.04562;1
-74.47718;46.045593;1
-74.477615;46.045563;2
-74.478335;46.045493;3
-74.478702;46.04557;4
-74.47927;46.042443;72
-74.478915;46.045051;5
-74.479234;46.042693;73
-74.478805;46.044846;7
-74.479024;46.044312;8
-74.478722;46.042637;74
-74.478879;46.042915;75
-74.479188;46.045532;10
-74.480228;46.045755;12
-74.481292;46.045555;15
-74.478357;46.043097;76
-74.482249;46.045714;18
-74.482885;46.045677;21
-74.47852;46.043486;77
-74.483001;46.047017;22
-74.47913;46.04371;80
-74.478794;46.043734;23
-74.478111;46.044075;81
-74.478277;46.043945;82
-74.478451;46.043551;90
-74.478998;46.044001;24
-74.478222;46.043433;91
-74.47959;46.043903;31
-74.478174;46.043191;92
-74.479328;46.044416;37
-74.477743;46.044009;95
-74.477158;46.043748;97
-74.477649;46.04335;98
-74.477209;46.043158;99
-74.479354;46.045892;25
-74.476889;46.043312;102
-74.47873;46.046065;26
-74.477493;46.042891;104
-74.477916;46.042779;105
-74.477911;46.045795;27
-74.477979;46.043737;107
-74.47815;46.042336;112
