longitude;latitude;yellow1;yellow2;ressource_id;red1;red2
-74.474493;46.045158;274;417;70;182;119
-74.477582;46.045823;312;390;1;103;70
-74.479104;46.042165;415;276;71;148;115
-74.478734;46.042185;;;71;;
-74.478661;46.042461;413;272;72;2;209
-74.47802;46.045371;311;392;2;56;105
-74.47802;46.045371;311;392;2;56;105
-74.479127;46.042386;421;298;73;152;127
-74.47956;46.042526;411;328;74;154;113
-74.479243;46.045561;249;388;3;145;50
-74.478908;46.042708;325;386;75;217;4
-74.478869;46.045848;247;314;4;48;71
-74.478635;46.042795;315;384;76;6;205
-74.479191;46.043005;409;334;77;180;135
-74.478619;46.045035;394;387;5;158;63
-74.478053;46.045199;283;312;6;54;59
-74.478732;46.043056;405;330;78;11;196
-74.478365;46.042954;407;332;79;5;174
-74.477406;46.045408;306;279;7;65;60
-74.478485;46.043247;401;326;80;184;87
-74.477847;46.045063;277;304;8;1;96
-74.478782;46.04314;379;324;81;53;176
-74.478157;46.045118;389;396;9;98;67
-74.478803;46.043532;322;385;82;39;186
-74.478301;46.044885;398;393;10;123;156
-74.478666;46.044755;308;293;11;94;49
-74.478949;46.04344;320;391;83;29;188
-74.478893;46.044501;362;395;12;107;92
-74.479269;46.043655;318;383;84;31;190
-74.478384;46.044276;358;309;12;90;75
-74.479018;46.04366;381;316;85;192;157
-74.478497;46.044099;360;397;13;162;57
-74.478734;46.043916;275;400;14;132;69
-74.478077;46.044115;260;419;86;194;219
-74.478977;46.04375;307;356;15;88;73
-74.478416;46.043829;403;258;88;198;159
-74.479072;46.043917;350;361;16;100;109
-74.478457;46.043622;295;256;89;212;149
-74.4783;46.043499;254;365;90;220;175
-74.47919;46.044108;371;348;17;80;15
-74.478161;46.043347;252;363;91;203;222
-74.479211;46.044003;359;352;18;86;27
-74.478265;46.043234;250;235;92;173;224
-74.479622;46.044291;344;373;19;84;25
-74.477826;46.044116;251;248;93;207;202
-74.479265;46.044386;342;357;20;121;82
-74.477342;46.043945;240;319;95;151;206
-74.479192;46.044848;346;355;21;47;150
-74.477039;46.043851;268;253;96;204;161
-74.479115;46.045274;353;380;22;108;9
-74.47707;46.043763;228;265;97;208;155
-74.477368;46.043654;259;246;98;163;210
-74.479549;46.045337;378;375;23;147;110
-74.479766;46.045875;402;377;24;13;128
-74.477625;46.043166;236;289;99;214;165
-74.477166;46.043301;234;231;100;153;8
-74.477006;46.043466;244;233;101;160;221
-74.476774;46.043414;238;229;102;223;134
-74.478975;46.046055;336;349;25;61;146
-74.478422;46.046185;367;376;26;72;21
-74.477294;46.043036;302;273;104;191;216
-74.478226;46.045961;347;374;27;23;74
-74.47761;46.042847;322;232;105;200;167
-74.477861;46.042665;230;317;106;179;226
-74.47777;46.046072;343;372;28;17;140
-74.478081;46.043789;319;300;107;169;218
-74.477019;46.045499;370;341;29;139;114
-74.477936;46.0435;242;245;108;172;171
-74.478124;46.043015;294;999;109;181;178
-74.478343;46.042767;243;278;110;177;138
-74.478466;46.042616;290;239;111;185;126
-74.478412;46.042519;241;266;112;14;199
-74.478047;46.042391;264;255;113;211;66
-74.478222;46.041989;225;262;114;64;183
